,count,mean,std,min,25%,50%,75%,max
"IC50, mM",1001.0,222.80515588131445,402.16973442860075,0.003516693745,12.51539592,46.58518346,224.9759276,4128.529377
"CC50, mM",1001.0,589.110728106674,642.8675083286196,0.7008079125,99.9990355,411.0393423,894.0891765,4538.976189
SI,1001.0,72.50882294964325,684.4827387530574,0.01148926946,1.433333333,3.846153846,16.56666667,15620.6
MaxAbsEStateIndex,1001.0,10.831637053162838,3.3075051746843767,2.321942215,9.252350246,12.17923611,13.16784297,15.93346262
MaxEStateIndex,1001.0,10.831637053162838,3.3075051746843767,2.321942215,9.252350246,12.17923611,13.16784297,15.93346262
MinAbsEStateIndex,1001.0,0.1806806639060918,0.16870990609543257,3.92101285e-05,0.05107344944,0.1246064815,0.2910200407,1.374614198
MinEStateIndex,1001.0,-0.9672371195401588,1.5880357300282941,-6.992795611,-1.334487198,-0.4194850718,0.06175384573,1.374614198
qed,1001.0,0.5804121321737064,0.21223048289908245,0.05956677725,0.4428420317,0.6349805823,0.7424827782,0.9472648368
SPS,1001.0,29.487988623683318,12.742749187194404,9.416666667,18.48648649,29.29032258,38.75,60.27272727
MolWt,1001.0,348.26223376623375,126.94636964875876,110.156,264.321,315.457,409.283,904.777
HeavyAtomMolWt,1001.0,324.4690029970031,121.6941344992888,100.076,244.212,293.183,385.258,856.393
ExactMolWt,1001.0,347.94060577842157,126.8078911031913,110.0731649,264.1361591,315.2198292,408.1660773,904.248467
NumValenceElectrons,1001.0,132.1158841158841,46.70180464867025,42.0,102.0,120.0,152.0,350.0
NumRadicalElectrons,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MaxPartialCharge,998.0,0.235749362523495,0.1294289280005949,-0.01670603382,0.118380272375,0.250660773,0.3356925214,0.5725963035
MinPartialCharge,998.0,-0.4074364851044188,0.07597368596908698,-0.7440357687,-0.4778802682,-0.3935668431,-0.354483956775,-0.08500690779
MaxAbsPartialCharge,998.0,0.41574107590884773,0.07195066474379067,0.08500690779,0.3613902874,0.4260555705,0.4778802682,0.7440357687
MinAbsPartialCharge,998.0,0.22753371007257317,0.1196408417552129,0.002020121761,0.116848650875,0.250660773,0.3308900501,0.5073870916
FpDensityMorgan1,1001.0,1.1431631801573425,0.24108037787416706,0.2222222222,1.0,1.153846154,1.333333333,1.75
FpDensityMorgan2,1001.0,1.8246154899582419,0.3206125279291916,0.3777777778,1.634146341,1.88,2.05,2.625
FpDensityMorgan3,1001.0,2.4187384829738265,0.3962903667249957,0.5777777778,2.243902439,2.5,2.689655172,3.266666667
BCUT2D_MWHI,998.0,23.19662069486974,14.52901368222054,14.51394603,16.3669671225,16.56409061,32.09204731,126.9127045
BCUT2D_MWLOW,998.0,9.792566972843886,0.4612837451595841,0.9312611556,9.6891243095,9.715411274000001,9.980762172,10.70889853
BCUT2D_CHGHI,998.0,2.472203796507014,0.16211339263176508,1.83445985,2.3798079894999997,2.5058148055,2.5910349135,2.822293479
BCUT2D_CHGLO,998.0,-2.347064035956914,0.16887341256598368,-2.721859422,-2.4760958835,-2.358527145,-2.23568531575,-1.713605351
BCUT2D_LOGPHI,998.0,2.4731157692735475,0.15711052249607443,1.932099261,2.3571226285,2.485134824,2.612531452,2.791427335
BCUT2D_LOGPLOW,998.0,-2.403494268293587,0.17703554578759395,-2.785711742,-2.529163585,-2.396486083,-2.323521744,-1.64775964
BCUT2D_MRHI,998.0,6.295386475014029,1.0909907577292624,4.652069465,5.771986089,5.938573395500001,6.461007013,14.11196427
BCUT2D_MRLOW,998.0,-0.06948512435372926,0.2495994845202424,-1.080944444,-0.15687812947500002,-0.11381983745,0.0598123062075,1.170323696
AvgIpc,1001.0,2.8164984772177823,0.4322846210353279,1.787472376,2.485521548,2.803971733,3.087200368,3.952628584
BalabanJ,1001.0,1.8535124275355028,0.45470334413289487,2.338383748e-07,1.526648779,1.843942029,2.079064551,3.793184931
BertzCT,1001.0,753.9897554782217,435.91064371090226,113.6254878,418.3688687,660.9137474,963.3121426,2263.926215
Chi0,1001.0,17.66738618787213,6.309870275650408,5.560477932,13.5102254,16.07070333,20.66456146,45.76397309
Chi0n,1001.0,14.524225226312685,5.179047940328606,4.112076558,11.24393949,13.29628549,16.34570074,35.98697602
Chi0v,1001.0,14.854952289162837,5.268820531031498,4.112076558,11.40067052,13.63272132,16.87482917,35.98697602
Chi1,1001.0,11.729249733475523,4.432143496871938,3.860173345,8.788770556,10.43248854,13.87991785,29.80074826
Chi1n,1001.0,8.639560928443556,3.1361903619135423,2.128962148,6.706795679,7.921763718,9.823065302,22.21342603
Chi1v,1001.0,8.937560004463537,3.2292189834589724,2.128962148,6.778143577,8.084748487,10.30429721,22.21342603
Chi2n,1001.0,7.316550597257742,2.744515412109,1.301252823,5.545864648,6.744334995,8.61309675,20.1809383
Chi2v,1001.0,7.65710571094006,2.8368870113791083,1.301252823,5.635693997,7.252305837,9.0364174,20.1809383
Chi3n,1001.0,5.6213442003901095,2.46437469289868,0.7499892623,4.085604198,5.131109214,6.657554841,16.47663883
Chi3v,1001.0,5.9075352821233755,2.5366677692420407,0.7499892623,4.181162399,5.543492526,6.959298832,16.47663883
Chi4n,1001.0,4.164902998396304,1.9381372552836935,0.4151148164,2.954154834,3.857711656,4.871045501,12.47991601
Chi4v,1001.0,4.403451635742258,2.02060110728863,0.4151148164,3.08039437,4.079445889,5.188948618,12.47991601
HallKierAlpha,1001.0,-1.8904926242588411,1.3821812224627845,-6.52,-2.85,-1.56,-0.79,0.27
Ipc,1001.0,48317027937.35746,1255969026844.7466,107.1071907,18858.34686,112366.7334,4399307.313,39517808516076.0
Kappa1,1001.0,17.019802823352645,6.370724528564548,4.539508533,12.76714469,15.66457063,19.49442898,46.90862385
Kappa2,1001.0,6.377423463924075,3.004727278511135,1.335791643,4.372750407,5.66979219,7.531720684,20.37497653
Kappa3,1001.0,3.0874471947521474,1.7223440012680578,0.4449852549,2.001770597,2.668913835,3.720410566,12.66625545
LabuteASA,1001.0,146.68456024696303,52.53954626738589,46.23426924,112.4369336,132.5158072,171.5426704,353.3287129
PEOE_VSA1,1001.0,12.629592089814187,11.593324308365274,0.0,5.316788604,9.843390349,14.95356129,118.9099655
PEOE_VSA10,1001.0,8.063287477256743,12.609103740977826,0.0,0.0,5.687386275,11.5086767,107.9237975
PEOE_VSA11,1001.0,4.993286998995005,8.940833328276126,0.0,0.0,0.0,5.783244946,47.41391288
